NXST	4.05%	10.06%	27.38%	27.13%	28.52%
OZK	3.39%	9.49%	11.15%	9.93%	27.10%
CTRA	3.49%	4.76%	13.62%	17.08%	26.72%
MUR	5.02%	8.33%	16.37%	15.77%	50.33%
DKS	2.34%	10.23%	35.49%	31.15%	31.97%
EWBC	2.22%	9.09%	14.47%	16.89%	25.23%
EOG	3.15%	7.69%	9.07%	21.61%	35.17%
AFG	2.55%	9.22%	11.48%	11.58%	26.96%
AFL	2.25%	16.00%	13.19%	15.68%	32.38%
ALV	2.94%	13.14%	6.31%	37.97%	32.11%
AXP	1.03%	17.14%	16.40%	13.78%	18.90%
KR	2.01%	9.84%	12.54%	14.53%	26.73%
BEN	5.22%	28.00%	11.00%	7.98%	54.73%
UNH	2.87%	6.72%	10.90%	12.57%	34.72%
SNA	2.70%	10.88%	13.34%	13.88%	42.82%
MA	0.54%	10.95%	14.22%	13.14%	16.34%
V	0.67%	9.77%	14.43%	14.11%	18.54%
JPM	1.98%	16.67%	11.87%	9.24%	28.17%
RDN	2.86%	4.08%	8.44%	15.33%	25.36%
RHI	5.55%	11.32%	11.12%	11.65%	88.11%
COST	0.53%	12.44%	13.18%	12.97%	25.94%
HRB	2.71%	7.91%	10.23%	7.60%	29.15%
MSCI	1.24%	12.50%	16.28%	19.78%	37.91%
GABC	2.83%	7.41%	8.03%	8.83%	31.97%
SHW	0.91%	10.49%	9.60%	12.08%	23.71%
APA	4.88%	0.00%	10.06%	58.49%	36.72%
MCO	0.75%	10.59%	10.33%	10.91%	24.36%
IPAR	2.36%	6.67%	16.96%	57.52%	55.02%
AVGO	0.87%	8.76%	11.77%	12.07%	28.74%
PAYX	2.98%	10.18%	21.21%	11.22%	73.04%
PNNT	13.71%	4.35%	16.96%	12.20%	132.41%
HAL	3.07%	0.00%	12.31%	16.64%	26.61%
NEE	3.13%	10.00%	10.05%	10.11%	56.74%
R	1.90%	6.58%	10.52%	7.66%	21.95%
GL	0.89%	12.50%	9.17%	7.57%	7.23%
DRI	2.76%	7.08%	7.65%	54.51%	52.34%
RF	4.06%	2.04%	10.56%	10.03%	40.53%
ROP	0.58%	7.32%	9.08%	9.46%	15.25%
OVV	2.92%	0.00%	8.10%	26.19%	21.18%
MS	2.62%	4.23%	7.84%	21.45%	39.69%
OXM	6.05%	3.01%	9.80%	19.59%	73.77%
HPQ	4.49%	3.71%	4.57%	9.89%	33.99%
FHI	2.99%	9.92%	7.19%	4.25%	30.60%
AMGN	3.21%	5.78%	7.05%	8.27%	44.24%
SCI	1.56%	6.67%	7.86%	10.41%	30.66%
